Unnamed: 0,userName,text,tweetcreatedts,tweet_clean,tweet_english
458,Reza Lafias,"susahhh amat si loading mulu, kategori juga ga.muncul2, aplikasi layanan gak ada gunanya looh, hapuss ajaa keluar aja dari google play",19/04/2021 02:55,"susahhh amat si loading mulu, kategori juga ga.muncul2, aplikasi layanan gak ada gunanya looh, hapuss ajaa keluar aja dari google play","It's very difficult to loading first, the category is also ga."
459,agsaria medon,Sangat baik,17/04/2021 22:01,Sangat baik,Very good
460,Suhartono SKM,"Aplikasi yang sangat membantu masyarakat menyampaikan aspirasi dan pemikiran, semoga aplikasi ini berkembang seiring perkembangan reformasi dan birokrasi di negara tercinta Indonesia.",17/04/2021 14:50,"Aplikasi yang sangat membantu masyarakat menyampaikan aspirasi dan pemikiran, semoga aplikasi ini berkembang seiring perkembangan reformasi dan birokrasi di negara tercinta Indonesia.","Applications that are very helpful for the community to express their aspirations and thoughts, hopefully this application will develop along with the development of reform and bureaucracy in Indonesia's beloved country."
461,Yehuda Good,"tidak bisa submit baik pake sinyal pribadi atau wifi. Tidak bisa update profil. padahal kalo mau lapor harus lengkapi profil. aplikasi belum siap, masih banyak bugs. Terimakasih",16/04/2021 14:19,"tidak bisa submit baik pake sinyal pribadi atau wifi. Tidak bisa update profil. padahal kalo mau lapor harus lengkapi profil. aplikasi belum siap, masih banyak bugs. Terimakasih","Cannot submit either using personal signals or wifi.Cannot update the profile.Even if you want to report, you have to complete the profile.The application is not ready, there are still many bugs.Thank you"
462,Jhony deep Sinaga,Lumayan,16/04/2021 09:41,Lumayan,Reasonable
463,Bakal Juragan,"Mau daftar akun gak bisa! Suruh"" pilih jenis kelamin"" !. Opsi menu ini kolom tidak ada, apanya yg dipilih jenis kelamin!!!",16/04/2021 05:21,"Mau daftar akun gak bisa! Suruh"" pilih jenis kelamin"" !. Opsi menu ini kolom tidak ada, apanya yg dipilih jenis kelamin!!!","Want to register an account can't!Tell ""Choose Gender""!.This menu option is no column, what's chosen gender !!!"
464,Annoer Komputer,"Saya bandingkan... Versi web lebih responsif dlm menanggapi aduan dibanding versi Apps-nya. Developer Apps Lapor juga tidak menanggapi reviews setiap penggunanya. Maka tidak heran jika ratingnya rata-rata 1?. Perbaiki kinerjanya boss, jgn merusak kredibilitas website aslinya. Klo tidak niat bikin Apps sebaiknya stop aja, krn versi Web nya sudah bagus.",14/04/2021 21:04,"Saya bandingkan... Versi web lebih responsif dlm menanggapi aduan dibanding versi Apps-nya. Developer Apps Lapor juga tidak menanggapi reviews setiap penggunanya. Maka tidak heran jika ratingnya rata-rata ?. Perbaiki kinerjanya boss, jgn merusak kredibilitas website aslinya. Klo tidak niat bikin Apps sebaiknya stop aja, krn versi Web nya sudah bagus.","I compare ... the web version is more responsive in responding to complaints than the apps version.Apps Developer LAPOR also does not respond to the reviews of each user.So do not be surprised if the rating is average?Improve the performance of Boss, don't damage the credibility of the original website.If you don't intend to make apps, you should stop it, because the web version is good."
465,Atika Tika,"tlong gimana cara mendaftarnya udh ngetik kata sandi sulit"" tetep aja gk bisa terdaftar",14/04/2021 12:01,"tlong gimana cara mendaftarnya udh ngetik kata sandi sulit"" tetep aja gk bisa terdaftar","Please do how to register, it's already a difficult password ""still can't be registered"
466,MOHAMAD USMAN,"Sudah beberpa hari apkx tidak bisa mengirim keluhan yg muncul internal server eror, seharusnya performax brtmbah bgus bukn jd jelek bgini",14/04/2021 05:34,"Sudah beberpa hari apkx tidak bisa mengirim keluhan yg muncul internal server eror, seharusnya performax brtmbah bgus bukn jd jelek bgini","It's been a few days that APKX cannot send complaints that appeared internal server error, the performance should be very bad so bad"
467,Ade Surya Dinata,Tidak bisa menarik laporan kalau sudah diupload,14/04/2021 03:32,Tidak bisa menarik laporan kalau sudah diupload,Can't withdraw reports when it has been uploaded
468,BAKORWIL 1 KPK TIPIKOR,Siiiip,14/04/2021 03:30,Siiiip,Siiiip
469,Hary Satria,"Bad apps susah register, isi laporan tidak bisa, saya rasa ini aplikasi cuma buat basa basi doang, saya sudah coba berkali 2x",13/04/2021 19:15,"Bad apps susah register, isi laporan tidak bisa, saya rasa ini aplikasi cuma buat basa basi doang, saya sudah coba berkali x","Bad apps is difficult to register, the contents of the report can't, I think this is only a small talk, I have tried x"
470,Erwin April,Tidak bisa Lapor server Erorr,13/04/2021 06:48,Tidak bisa Lapor server Erorr,Cannot Report Server Error
471,ita Listi,"Tadi siang saya sudah bikin laporan dan sudah tersimpan. Tapi sekarang tiba2 laporan yang saya buat tadi hilang tanpa ada tindak lanjut. Kemudian saya bikin laporan lagi tapi tidak bisa dikirim dengan alasan server eror. Tolong sekali pak/buk, jangan karena kerjasama yang lebih menguntungkan, anda semua jadi lalai sama rakyat kecil. Kalau anda menciptakan forum untuk pengaduan dan informasi, setidaknya laporan kami ditindak lanjuti.",12/04/2021 15:47,"Tadi siang saya sudah bikin laporan dan sudah tersimpan. Tapi sekarang tiba2 laporan yang saya buat tadi hilang tanpa ada tindak lanjut. Kemudian saya bikin laporan lagi tapi tidak bisa dikirim dengan alasan server eror. Tolong sekali pak/buk, jangan karena kerjasama yang lebih menguntungkan, anda semua jadi lalai sama rakyat kecil. Kalau anda menciptakan forum untuk pengaduan dan informasi, setidaknya laporan kami ditindak lanjuti.","This afternoon I made a report and was stored.But now suddenly the report I made was lost without any follow -up.Then I made a report again but could not be sent on the grounds that the server error.Please sir/buk, not because of a more profitable cooperation, you all become negligent with the small people.If you create a forum for complaints and information, at least our reports are followed up."
472,Imam Pratama P (Ip),"aplikasi sama di web sering erorr, laporan gagal terkirim terus",12/04/2021 12:28,"aplikasi sama di web sering erorr, laporan gagal terkirim terus","The same application on the web is often error, reports fail to be sent"
473,andik kusumawanto,sangat membantu menyelesaikan masalah,12/04/2021 10:36,sangat membantu menyelesaikan masalah,very helpful to solve the problem
474,zetan belek,sengaja dibikin server sibuk kah ? ?? hadewhhh ... parah,11/04/2021 08:12,sengaja dibikin server sibuk kah ? ?? hadewhhh ... parah,Deliberately made a busy server???Hadewhhh ... bad
475,Ima Niyah,Akhir2 ini aplikasi tdk bisa di buat kirim laporan knp?,11/04/2021 06:59,Akhir2 ini aplikasi tdk bisa di buat kirim laporan knp?,Lately the application cannot be made to send the KNP report?
476,Yusuf Firdaus,"Respon lambat,, aplikasi eror",09/04/2021 06:32,"Respon lambat,, aplikasi eror","Slow response ,, error application"
477,Taufik Hidayat nelzy,Mantabs bgt ini ternyata direspon.. trims aplikasi mantab,09/04/2021 04:05,Mantabs bgt ini ternyata direspon.. trims aplikasi mantab,Mantabs really this turns out to be responded to .. thanks for the mantab application
478,Solehudin Nur Wahid,Ok,08/04/2021 09:15,Ok,OK
479,Ahmad Rozi,"Aplikasi ngk berguna,!",07/04/2021 12:52,"Aplikasi ngk berguna,!","Useful NGK Applications,!"
480,Steven Wijaya,"Aplikasi nipu,untuk apa ada di playstore kalau gak bisa digunakan,dikit"" error.sampah..definisi hidup sudah sulit dipersulit!!",07/04/2021 01:38,"Aplikasi nipu,untuk apa ada di playstore kalau gak bisa digunakan,dikit"" error.sampah..definisi hidup sudah sulit dipersulit!!","APPLICATION, what is in PlayStore if it can't be used, a little ""error. Sampah ... Definition of Life is difficult to complicate !!"
481,Frandz Ezza,"Kok ""belum terverifikasi""terus apa ada yg salah ya...",06/04/2021 15:47,"Kok ""belum terverifikasi""terus apa ada yg salah ya...","How come ""hasn't been verified yet"" Then is something wrong ..."
482,bathodin,Berharap nggak cuma jadi apkikasi penampung sampah2 laporan dan aspirasi yg tak terealisasi oleh pejabat negeri ini,06/04/2021 06:24,Berharap nggak cuma jadi apkikasi penampung sampah2 laporan dan aspirasi yg tak terealisasi oleh pejabat negeri ini,Hope not only becomes a 2 report reservoir application and aspirations that are not realized by this state official
483,Fauzi Rd,Membantu,05/04/2021 08:08,Membantu,Help
484,KPK TIPIKOR INDONESIA,Aplikasi mati,05/04/2021 02:34,Aplikasi mati,Dead application
485,Khaidir Abad,"Unistall lagi, setelah saya beberapa kali mendaftar akun baru dan gagal terus. Padahal saya sudah memasukkan password kombinasi alfabet numerik, tetap diminta memasukkan password dengan 8 karakter alfanum..",04/04/2021 09:08,"Unistall lagi, setelah saya beberapa kali mendaftar akun baru dan gagal terus. Padahal saya sudah memasukkan password kombinasi alfabet numerik, tetap diminta memasukkan password dengan karakter alfanum..","Unistall again, after I registered a new account several times and failed continuously.Even though I have entered the Numerical alphabet combination password, still asked to enter the password with the Alfanum character .."
486,rus diana,Aplikasi yg bagus buat mewakili masayarakat,04/04/2021 02:04,Aplikasi yg bagus buat mewakili masayarakat,Good application for representing the community
487,Dian Oppo,"Mau registrasi kendala di kata sandi gagal terus,apk gak jelas",03/04/2021 13:00,"Mau registrasi kendala di kata sandi gagal terus,apk gak jelas","Want to register the obstacles in the password that fails to continue, the apk is not clear"
488,Yulianto Manahan,Good,03/04/2021 06:49,Good,Good
489,Need Reedem,Ga di peduliin laporan saya,03/04/2021 05:02,Ga di peduliin laporan saya,Not cared for my report
490,Widiarta,"Tolong pak/ibu yth, dengarkan suara rakyat yang melapor karna sudah merasa dirugikan banget dengan tingkat kejahatan penipuan dan sebagainya, saya harap aplikasi ini dapat membatu rakyat",03/04/2021 04:32,"Tolong pak/ibu yth, dengarkan suara rakyat yang melapor karna sudah merasa dirugikan banget dengan tingkat kejahatan penipuan dan sebagainya, saya harap aplikasi ini dapat membatu rakyat","Please, ladies and gentlemen, listen to the voice of the people who report because they already feel very disadvantaged by the level of fraud and so on, I hope this application can help the people"
491,Hesitate,Server lemot apbn kemana aja buat ngirim laporan aja lamanya bukan main,01/04/2021 11:47,Server lemot apbn kemana aja buat ngirim laporan aja lamanya bukan main,"The Slow Server APBN anywhere to send the report, it's not playing"
492,nanang iskandar,"Banyak bikin laporan, namun tanpa penyelesaian pada pihak terkait. Respon sangat lambat harus menunggu beberapa bulan, baru mendapatkan konfirmasi. Entah kapan tindakannya.",01/04/2021 11:37,"Banyak bikin laporan, namun tanpa penyelesaian pada pihak terkait. Respon sangat lambat harus menunggu beberapa bulan, baru mendapatkan konfirmasi. Entah kapan tindakannya.","Many make reports, but without resolution to related parties.Very slow response must wait a few months, just get confirmation.I don't know when the action."
493,Jack (Jack976),Ada error di app Tidak bisa di gunakan,01/04/2021 11:32,Ada error di app Tidak bisa di gunakan,"There is an error on the app, it can't be used"
494,Adi Jaswa,Siap install,01/04/2021 07:03,Siap install,Ready to install
495,Didi Hidayat (Didiet),Masuk.ke website gak bisa. Masuk bia aplikasi sama aja.,01/04/2021 05:55,Masuk.ke website gak bisa. Masuk bia aplikasi sama aja.,Enter. The website can't.Just enter the application of the application.
496,arik tanzil,Daftar tidak pernah bisa. masih dipakai apa tidak aplikasi ini?,01/04/2021 01:33,Daftar tidak pernah bisa. masih dipakai apa tidak aplikasi ini?,The list can never.Is it still used or not this application?
497,adi wijaya,"Admin nya tidak netral,laporan lebih dari satu langsung diarsipkan",01/04/2021 01:29,"Admin nya tidak netral,laporan lebih dari satu langsung diarsipkan","The admin is not neutral, more than one report is directly archived"
498,Aditiya Mursid,"Aplikasi sering keluar tibatiba, udh bikin laporan tapi gabisa diselesaikan, alasan isi laporan gaboleh lebih dr 2mb,alasan lokasi dibutuhin padahal tuh udd diisi, aplikasi sekelas buatan pemerintah cuma segini aja? Niatt ga boss? Anggarannya lu belokin kemana boss? Semoga diperbaiki dan lebih baik kedepannya.",01/04/2021 00:40,"Aplikasi sering keluar tibatiba, udh bikin laporan tapi gabisa diselesaikan, alasan isi laporan gaboleh lebih dr mb,alasan lokasi dibutuhin padahal tuh udd diisi, aplikasi sekelas buatan pemerintah cuma segini aja? Niatt ga boss? Anggarannya lu belokin kemana boss? Semoga diperbaiki dan lebih baik kedepannya.","Applications often come out suddenly, already make reports but can't be completed, the reason for the contents of the report is more than MB, the reason for the location is needed even though the UDD is filled, applications made by the government are only this much?Intention is not boss?Where did you turn the budget boss?Hopefully it will be improved and better in the future."
499,wiwid nugroho,aplikasi gak mutu blas..lemot kek PNS indo,31/03/2021 11:27,aplikasi gak mutu blas..lemot kek PNS indo,the application is not blas quality..lamot kek indo civil servants
500,A.Akhmad Qadar,sangat berguna aplikasi ini,31/03/2021 06:51,sangat berguna aplikasi ini,Very useful this application
501,Agus Fifa kusumah,Semoga bermanfaat bagi kita semua hasil dari Aplikasi ini,30/03/2021 02:47,Semoga bermanfaat bagi kita semua hasil dari Aplikasi ini,Hopefully useful for all of us the results of this application
502,novi wina,"Ga ngefek, beberapa kali ku lapor ga ada respon",28/03/2021 10:09,"Ga ngefek, beberapa kali ku lapor ga ada respon","Not effect, several times I reported no response"
503,Heri Guswandi,Sangat membantu dan memberikan manfaat bagi masyarakat Indonesia,28/03/2021 08:56,Sangat membantu dan memberikan manfaat bagi masyarakat Indonesia,Very helpful and benefit the people of Indonesia
504,Rian Oppa,"Aplikasi ga jelas, Bagusan JAKI, ini ga jelas outputnya, laporan tiba2 hilang, sebelum di tindak lanjut, SAMPAH",25/03/2021 05:13,"Aplikasi ga jelas, Bagusan JAKI, ini ga jelas outputnya, laporan tiba2 hilang, sebelum di tindak lanjut, SAMPAH","The application is unclear, good jaki, this is unclear the output, the report suddenly disappears, before being followed up, rubbish"
505,Ricco Prayoga Fratama,Ada error jika digunakan di Android,22/03/2021 09:46,Ada error jika digunakan di Android,There is an error if used on Android
506,Jihanagustin17,"Bantu saya blokir aplikasi FinPlus, super RP , dan pinjaman permata Karna pihak FinPlus menggunakan data diri saya pinjam di aplikasi aplikasi lain dengan tagihan besar 2.000.000 2.000.000 lebih",22/03/2021 09:16,"Bantu saya blokir aplikasi FinPlus, super RP , dan pinjaman permata Karna pihak FinPlus menggunakan data diri saya pinjam di aplikasi aplikasi lain dengan tagihan besar lebih","Help me block the finplus application, super RP, and Permata loans because the finplus uses my personal data borrowed in other applications with large bills"
507,Siti Fatimah,"Laporannya tidak bisa terkirim. Bikin capek mengetik saja,buang buang kuota mendownload aplikasi ini",20/03/2021 22:41,"Laporannya tidak bisa terkirim. Bikin capek mengetik saja,buang buang kuota mendownload aplikasi ini","The report cannot be sent.Just make tired of typing, throw away the quota download this application"
508,Josni Sihombing,Mantap pokoknya..laporan ditanggapi,18/03/2021 02:01,Mantap pokoknya..laporan ditanggapi,Great anyway ... the report is responded to
509,Bird Farm,"Semoga laporan saya di selesaikan oleh pihak yang berwajib, dan kalo sudah ada bukti bukti lengkap tolong di proses di manapun wilayah nya di seluruh indonesia, karena TNI & Polri untuk NKRI",16/03/2021 11:34,"Semoga laporan saya di selesaikan oleh pihak yang berwajib, dan kalo sudah ada bukti bukti lengkap tolong di proses di manapun wilayah nya di seluruh indonesia, karena TNI & Polri untuk NKRI","Hopefully my report will be completed by the authorities, and if there is already complete evidence, please proceed wherever the region throughout Indonesia, because the TNI & Polri for the Republic of Indonesia"
510,Gracelyn Setiawan,Percuma... Ga ditanggapi dgn berbagai alasan..,15/03/2021 20:30,Percuma... Ga ditanggapi dgn berbagai alasan..,Useless ... not responded to various reasons ..
511,Chandra Ibinews,Mantap,14/03/2021 17:59,Mantap,Great
512,MT Vlog,Respon lambat,13/03/2021 01:00,Respon lambat,Slow response
513,M. Ibrahim,"Laporan di tingkat kabupaten lama dapet tindak lanjut nya , mohon semua laporan di tindak lanjut dengan sama rata",10/03/2021 11:39,"Laporan di tingkat kabupaten lama dapet tindak lanjut nya , mohon semua laporan di tindak lanjut dengan sama rata","Reports at the old district level get follow -up, please all reports on follow up with equal"
514,Pangeran Assyraaf,"Laporan di tingkat kabupaten lama dapet tindak lanjutnya , mohon semua laporan di tindak lanjutin dengan sma rata",10/03/2021 11:35,"Laporan di tingkat kabupaten lama dapet tindak lanjutnya , mohon semua laporan di tindak lanjutin dengan sma rata","Reports at the old district level get the follow -up, please all reports on follow up with the average high school"
515,Akong Fu,Bagus,06/03/2021 19:06,Bagus,Good
516,Iwan To,Masih ribet susah isi data/daftar,06/03/2021 01:13,Masih ribet susah isi data/daftar,Still complicated difficult to fill in data/list
517,Sonny widodo,Saya Kasih Bintang Lima Semoga aja laporan Rakyat segera di tindak lanjutin dan semoga aja aplikasi berguna buat orang2 yg melapor langsung di tanggapi pemerintah setempat bahkan di survei kebenaranya trima kasih...,05/03/2021 14:30,Saya Kasih Bintang Lima Semoga aja laporan Rakyat segera di tindak lanjutin dan semoga aja aplikasi berguna buat orang2 yg melapor langsung di tanggapi pemerintah setempat bahkan di survei kebenaranya trima kasih...,"I will give you a five star, hopefully the people's report will be followed up soon and hopefully the application is useful for people who report directly in the local government even in the survey of the truth, thank you ..."
518,abdul kholiq,Mau tanya kepada admin kenapa saya mau posting kok Ad keterangan Internal server eror Mohon dibantu,05/03/2021 02:44,Mau tanya kepada admin kenapa saya mau posting kok Ad keterangan Internal server eror Mohon dibantu,I want to ask the admin why I want to post how come there is an Internal Server Error information please help
519,Muhammad Tigran,"Yang berhubungan dengan pemerintah dan BUMN semuanya buruk, bahkan hanya sekedar aplikasinya. Di pemerintahan isinya petugas partai tidak ada wakil rakyatnya. ??",04/03/2021 04:44,"Yang berhubungan dengan pemerintah dan BUMN semuanya buruk, bahkan hanya sekedar aplikasinya. Di pemerintahan isinya petugas partai tidak ada wakil rakyatnya. ??","Associated with the government and SOEs are all bad, even just the application.In the government, there were no representatives of the party.??"
520,Ardy bonex,Sangat meringankan beban masyarakat .. Terima kasih negara indonesia,02/03/2021 15:20,Sangat meringankan beban masyarakat .. Terima kasih negara indonesia,Very lighten the burden of the community .. Thank you for the Indonesian state
521,hairani muflihuun,mau coba memberi laporan...biarlah dikasih bintang lima....semoga selalu merespon apa yang menjadi keluhan rakyat Indonesia.....,01/03/2021 09:28,mau coba memberi laporan...biarlah dikasih bintang lima....semoga selalu merespon apa yang menjadi keluhan rakyat Indonesia.....,want to try to give a report ... let it be given a five star .... hopefully always responds to what the complaints of the Indonesian people .....
522,Andriyansyah Yansyah,Mantap,25/02/2021 14:20,Mantap,Great
523,Sutaryo,mudhorot,25/02/2021 08:12,mudhorot,Mudhorot
524,Yulia Isma,I like,24/02/2021 02:56,I like,I like
525,Dian Kurniawan,Good,23/02/2021 02:34,Good,Good
526,Mr. S,Laporan tidak kunjung diverifikasi sudah berhari-hari. Apa perlu saya sendiri yg buka server nya ?,20/02/2021 10:04,Laporan tidak kunjung diverifikasi sudah berhari-hari. Apa perlu saya sendiri yg buka server nya ?,The report has not been verified for days.Do I need to open the server myself?
527,Zulfiikar Ar,The oke,18/02/2021 16:35,The oke,The Okay
528,Rianto Paputungan,"Ganti Menterinya ini, orang bodoh dijadikan menteri. Dia tidak tau kalau pelayanan dibidangnya banyak masalah. Login saja nda bisa, blum lagi lain-lainnya.",16/02/2021 23:40,"Ganti Menterinya ini, orang bodoh dijadikan menteri. Dia tidak tau kalau pelayanan dibidangnya banyak masalah. Login saja nda bisa, blum lagi lain-lainnya.","Change this minister, a fool is made a minister.He did not know that the service in his field was a lot of problems.Just log in, you can, not again."
529,Chandra Pratama,"Apk tolol, baru daftar langsung nggk bisa login",16/02/2021 08:44,"Apk tolol, baru daftar langsung nggk bisa login","Stupid apk, just register directly not to log in"
530,Yohanes Daman,Aplikasi yg penting bagi warga indonesia,16/02/2021 01:59,Aplikasi yg penting bagi warga indonesia,Important applications for Indonesian citizens
531,Riki rohendi,"Maksudnya gmana??ko saya lapor,mlh di arsipkan sama admin nya??¿Sungguh sangat aneh tapi nyata",15/02/2021 07:29,"Maksudnya gmana??ko saya lapor,mlh di arsipkan sama admin nya??Sungguh sangat aneh tapi nyata","What do you mean ?? how come I reported it, MLH was archived with the admin ?? Really very strange but real"
532,Mas Wahyu sejati,Tidak bisa login payah...sudah daftar kok tdk bisa masuk KECEWA BERAT gmn bisa maju jika untuk pengaduan aja sulit,14/02/2021 20:34,Tidak bisa login payah...sudah daftar kok tdk bisa masuk KECEWA BERAT gmn bisa maju jika untuk pengaduan aja sulit,"Can't log in badly ... it's been a register, how come I can't get in the heavy disappointment, how come it can progress if for complaints it is difficult"
533,Munir Rasheed,Semoga dapat di gunakan,12/02/2021 06:05,Semoga dapat di gunakan,Hopefully it can be used
534,Dany Hide Adidis,Semoga layanan ini terus tersedia bila nanti presiden nya berganti yg baru.... Ayo Indonesia.,12/02/2021 02:56,Semoga layanan ini terus tersedia bila nanti presiden nya berganti yg baru.... Ayo Indonesia.,Hopefully this service will continue to be available if the president will change new ones ... Come on Indonesia.
535,Riki Rohendi,"Eror dan eror,setiap mau buka...apa udh tidak sanggup buat ngajuin aspirasi rakyat yg tertindas??????",12/02/2021 01:51,"Eror dan eror,setiap mau buka...apa udh tidak sanggup buat ngajuin aspirasi rakyat yg tertindas??????","Error and error, every time you want to open ... is it unable to make the aspirations of the oppressed people ??????"
536,Damar Syaba ramadhan,Kenapa min??eror terus nih,12/02/2021 01:50,Kenapa min??eror terus nih,Why Min ?? keeps the error
537,Medan Adventurer,Internal server error,11/02/2021 18:11,Internal server error,Internal Server Error
538,Chanel Pesisir Official,Mantap,11/02/2021 10:55,Mantap,Great
539,GILIRANA PERMAI,Applikasi baik bisa jawab keluhan rakyat,09/02/2021 06:07,Applikasi baik bisa jawab keluhan rakyat,Good application can answer people's complaints
540,R Djmuhe SankdewaAlam,"Semoga bermanfaat buat semua masyarakat NKRI,Amien",08/02/2021 11:08,"Semoga bermanfaat buat semua masyarakat NKRI,Amien","Hopefully useful for all people of the Republic of Indonesia, Amien"
541,Heru Masadi,"Internal server error 6/2/2021 Kalo aplikasi ini sudah nggak bisa digunakan, mending dihapus saja dari play store. Udah lagu lama. ""Nggak lapor disalahin, lapor nggak di tanggapin."" Giliran mau lapor masyarakat nggak di fasilitasi dengan baik. Bantu kasi vote biar dihapus dari play store. Klik menu, tandai sebagai tidak pantas.",06/02/2021 00:33,"Internal server error /2/2021 Kalo aplikasi ini sudah nggak bisa digunakan, mending dihapus saja dari play store. Udah lagu lama. ""Nggak lapor disalahin, lapor nggak di tanggapin."" Giliran mau lapor masyarakat nggak di fasilitasi dengan baik. Bantu kasi vote biar dihapus dari play store. Klik menu, tandai sebagai tidak pantas.","Internal Server Error /2/2021 If this application can not be used, it's better to just delete it from the Play Store.Already an old song.""No report, be misinterpreted, report not to be responsive.""It is the turn to report the community not to be facilitated properly.Help give vote to be removed from the Play Store.Click the menu, mark as inappropriate."
542,musik populer,Kenapa ya setiap saya yang lapor tidak direspon,05/02/2021 12:25,Kenapa ya setiap saya yang lapor tidak direspon,Why yes every time me who reported not responded
543,abu dirhamsyah,pengaduan paling cepat diresponse pejabat2 terkait dan selalu sukses menyelesaikan permasalahan,04/02/2021 02:26,pengaduan paling cepat diresponse pejabat2 terkait dan selalu sukses menyelesaikan permasalahan,The complaint is the fastest to respond to related officials and always successfully solve the problem
544,Adhe Prima,"Payah, capek isi aja. Tolong perbaiki server error terus pas kirim.",03/02/2021 09:02,"Payah, capek isi aja. Tolong perbaiki server error terus pas kirim.","Bad, just tired of contents.Can you fix the server error right when sending?"
545,Pedrik Andistian,"Aplikasi busuk, hanya ngabisin duit rakyat. Berapa kali bikin laporan malah hilang sendiri, data nik juga setiap masuk malah ga ada.",03/02/2021 02:24,"Aplikasi busuk, hanya ngabisin duit rakyat. Berapa kali bikin laporan malah hilang sendiri, data nik juga setiap masuk malah ga ada.","The application is rotten, only spending people's money.How many times make the report even lost alone, NIK data is also every time they enter."
546,Impian Seliger,Ok,02/02/2021 01:37,Ok,OK
547,083_ Ryan Mohamad,Aplikasi ini tidak berguna setiap kali mengirim laporan selalu internal server error',30/01/2021 21:48,Aplikasi ini tidak berguna setiap kali mengirim laporan selalu internal server error',"This application is useless every time you send a report, always an internal server error '"
548,Š???æ ??ñšæ,Kenapa ga bisa ngirim aduan??? Sllu error pas mw pencet tombol ngirim lanjutan apa nih aplikasi respon donk perbaiki,30/01/2021 09:43,Kenapa ga bisa ngirim aduan??? Sllu error pas mw pencet tombol ngirim lanjutan apa nih aplikasi respon donk perbaiki,"Why can't you send a complaint ???Always an error when I want to push the next button, what is the response application, please fix it"
549,Rasyid Al kindy,Ok,28/01/2021 08:32,Ok,OK
550,Bayu Ardiyansyah,"Gimana nih min....Update lagi,Gak bisa kirim Laporan dan masukan!!!? Internal server error!",27/01/2021 13:50,"Gimana nih min....Update lagi,Gak bisa kirim Laporan dan masukan!!!? Internal server error!","How about this min .... update again, can't send reports and input !!!?Internal Server Error!"
551,Edo Hartawan,Rumit,26/01/2021 17:42,Rumit,Complicated
552,achyanto sitohang,Jembatan komunikasi keluh kesah antara Pusat dan Rakyat.... Mantapp,25/01/2021 11:04,Jembatan komunikasi keluh kesah antara Pusat dan Rakyat.... Mantapp,The bridge of complaints communication between the center and the people .... mantapp
553,Siladika Irawan,"Ini aplikasi malah kayak medsos, lapor tapi ga ada tindak lanjut. Bisa di komen juga sama pelapor yg lain.. aplikasi bosok.",19/01/2021 14:48,"Ini aplikasi malah kayak medsos, lapor tapi ga ada tindak lanjut. Bisa di komen juga sama pelapor yg lain.. aplikasi bosok.","This application is even like social media, report but there is no follow -up.Can be commented with other reporters ... Bosok application."
554,Ekolondo,"Sudah Daftar,lalu Login Akun dengan password dan email benar. Tapi sistem malah menolak login. ????",18/01/2021 08:31,"Sudah Daftar,lalu Login Akun dengan password dan email benar. Tapi sistem malah menolak login. ????","Already register, then login the account with a password and email correct.But the system instead refused to log in.????"
555,Denny Latersia,Aplikasi sampah..,18/01/2021 05:20,Aplikasi sampah..,Garbage Application ..
556,Khalisa YouTube,Coba dlu klw laporan saya di proses saya kasi bintang 5,15/01/2021 19:52,Coba dlu klw laporan saya di proses saya kasi bintang,Try it first if my report is processed I give a star
557,Doni Da,"Bu risma laporan kmn? Ini aplikasi Very very Bad server,",15/01/2021 04:04,"Bu risma laporan kmn? Ini aplikasi Very very Bad server,","Mrs. Risma reports?This is the Very Very Bad Server application,"
558,ipan ipan,"Aplikasi sangat baik,perlu lebih ditingkatkan lagi respon Admin pada aplikasi",14/01/2021 17:34,"Aplikasi sangat baik,perlu lebih ditingkatkan lagi respon Admin pada aplikasi","The application is very good, it needs to be further enhanced the admin response to the application"
559,Andhika Royanih,Admin yth.. akankah lebih baik jika notifikasi dapat langsung di teruskan ke kolom postingan.. agar memudahkan untuk mengubah postingan .. terimakasih.. dan jangan buat pengguna kecewa..,14/01/2021 05:21,Admin yth.. akankah lebih baik jika notifikasi dapat langsung di teruskan ke kolom postingan.. agar memudahkan untuk mengubah postingan .. terimakasih.. dan jangan buat pengguna kecewa..,Admin Dear .. Will it be better if the notification can be directly continued to the post column ... to make it easier to change the post ... Thank you .. and don't make users disappointed ..
560,Sivester Badur,Sangat membantu guna mengetahui pengelolaan dana desa,11/01/2021 04:51,Sangat membantu guna mengetahui pengelolaan dana desa,Very helpful to find out the management of village funds
561,Febrina Sari,baik dan sangat membantu,10/01/2021 02:54,baik dan sangat membantu,good and very helpful
562,Putu Krocot,"Website2 Pemerintah mempersulit bukan mempermudah,...wakil rakyat/DPR harus sering-sering visit dan cek web2 pelayanan pemerintah",10/01/2021 01:39,"Website2 Pemerintah mempersulit bukan mempermudah,...wakil rakyat/DPR harus sering-sering visit dan cek web2 pelayanan pemerintah","Government websites make it difficult not to make it easier, ... People's representatives/DPR must often visit and check the web2 of government services"
563,Eni Tribowo,"Terimakasih, laporan saya telah sampai pada lembaga OJK. Saya tunggu tindakan lanjutnya pak. Semoga sukses selalu",08/01/2021 22:53,"Terimakasih, laporan saya telah sampai pada lembaga OJK. Saya tunggu tindakan lanjutnya pak. Semoga sukses selalu","Thank you, my report has arrived at the OJK institution.I am waiting for the action, sir.Good luck always"
564,Iren Novita,Bintang 3 dulu. Karna laporan saya masih dalam status terverikasi,08/01/2021 11:05,Bintang dulu. Karna laporan saya masih dalam status terverikasi,Star first.Because my report is still in verified status
